Word,Sentiment Score
correcting,-1.0
correction,-1.0
corrections,-1.0
corrects,-1.0
corrupt,-1.0
corrupted,-1.0
corrupting,-1.0
corruption,-1.0
corruptions,-1.0
corruptly,-1.0
corruptness,-1.0
costly,-1.0
counterclaim,-1.0
counterclaimed,-1.0
counterclaiming,-1.0
counterclaims,-1.0
counterfeit,-1.0
counterfeited,-1.0
counterfeiter,-1.0
counterfeiters,-1.0
counterfeiting,-1.0
counterfeits,-1.0
countermeasure,-1.0
countermeasures,-1.0
courteous,1.0
creative,1.0
creatively,1.0
creativeness,1.0
creativity,1.0
crime,-1.0
crimes,-1.0
criminal,-1.0
criminally,-1.0
criminals,-1.0
crises,-1.0
crisis,-1.0
critical,-1.0
critically,-1.0
criticism,-1.0
criticisms,-1.0
criticize,-1.0
criticized,-1.0
criticizes,-1.0
criticizing,-1.0
crucial,-1.0
crucially,-1.0
culpability,-1.0
culpable,-1.0
culpably,-1.0
cumbersome,-1.0
curtail,-1.0
curtailed,-1.0
curtailing,-1.0
curtailment,-1.0
curtailments,-1.0
curtails,-1.0
cut,-1.0
cutback,-1.0
cutbacks,-1.0
cyberattack,-1.0
cyberattacks,-1.0
cyberbullying,-1.0
cybercrime,-1.0
cybercrimes,-1.0
cybercriminal,-1.0
cybercriminals,-1.0
damage,-1.0
damaged,-1.0
damages,-1.0
damaging,-1.0
dampen,-1.0
dampened,-1.0
danger,-1.0
dangerous,-1.0
dangerously,-1.0
dangers,-1.0
deadlock,-1.0
deadlocked,-1.0
deadlocking,-1.0
deadlocks,-1.0
deadweight,-1.0
deadweights,-1.0
debarment,-1.0
debarments,-1.0
debarred,-1.0
deceased,-1.0
deceit,-1.0
deceitful,-1.0
deceitfulness,-1.0
deceive,-1.0
deceived,-1.0
deceives,-1.0
deceiving,-1.0
deception,-1.0
deceptions,-1.0
deceptive,-1.0
deceptively,-1.0
decline,-1.0
declined,-1.0
declines,-1.0
declining,-1.0
deface,-1.0
defaced,-1.0
defacement,-1.0
defamation,-1.0
defamations,-1.0
defamatory,-1.0
defame,-1.0
defamed,-1.0
defames,-1.0
defaming,-1.0
default,-1.0
defaulted,-1.0
defaulting,-1.0
defaults,-1.0
defeat,-1.0
defeated,-1.0
defeating,-1.0
defeats,-1.0
defect,-1.0
defective,-1.0
defects,-1.0
defend,-1.0
defendant,-1.0
defendants,-1.0
defended,-1.0
defending,-1.0
defends,-1.0
defensive,-1.0
defer,-1.0
deficiencies,-1.0
deficiency,-1.0
deficient,-1.0
deficit,-1.0
deficits,-1.0
defraud,-1.0
defrauded,-1.0
defrauding,-1.0
defrauds,-1.0
defunct,-1.0
degradation,-1.0
degradations,-1.0
degrade,-1.0
degraded,-1.0
degrades,-1.0
degrading,-1.0
delay,-1.0
delayed,-1.0
delaying,-1.0
delays,-1.0
deleterious,-1.0
deliberate,-1.0
deliberated,-1.0
deliberately,-1.0
delight,1.0
delighted,1.0
delightful,1.0
delightfully,1.0
delighting,1.0
delights,1.0
delinquencies,-1.0
delinquency,-1.0
delinquent,-1.0
delinquently,-1.0
delinquents,-1.0
delist,-1.0
delisted,-1.0
delisting,-1.0
delists,-1.0
demise,-1.0
demised,-1.0
demises,-1.0
demising,-1.0
demolish,-1.0
demolished,-1.0
demolishes,-1.0
demolishing,-1.0
demolition,-1.0
demolitions,-1.0
demote,-1.0
demoted,-1.0
demotes,-1.0
demoting,-1.0
demotion,-1.0
demotions,-1.0
denial,-1.0
denials,-1.0
denied,-1.0
denies,-1.0
denigrate,-1.0
denigrated,-1.0
denigrates,-1.0
denigrating,-1.0
denigration,-1.0
deny,-1.0
denying,-1.0
dependability,1.0
dependable,1.0
deplete,-1.0
depleted,-1.0
depletes,-1.0
depleting,-1.0
depletion,-1.0
depletions,-1.0
deprecation,-1.0
depress,-1.0
depressed,-1.0
depresses,-1.0
depressing,-1.0
deprivation,-1.0
deprive,-1.0
deprived,-1.0
deprives,-1.0
depriving,-1.0
derelict,-1.0
dereliction,-1.0
derogatory,-1.0
desirable,1.0
desired,1.0
despite,1.0
destabilization,-1.0
destabilize,-1.0
destabilized,-1.0
destabilizing,-1.0
destined,1.0
destroy,-1.0
destroyed,-1.0
destroying,-1.0
destroys,-1.0
destruction,-1.0
destructive,-1.0
detain,-1.0
detained,-1.0
detention,-1.0
detentions,-1.0
deter,-1.0
deteriorate,-1.0
deteriorated,-1.0
deteriorates,-1.0
deteriorating,-1.0
deterioration,-1.0
deteriorations,-1.0
deterred,-1.0
deterrence,-1.0
deterrences,-1.0
deterrent,-1.0
deterrents,-1.0
deterring,-1.0
deters,-1.0
detract,-1.0
detracted,-1.0
detracting,-1.0
detriment,-1.0
detrimental,-1.0
detrimentally,-1.0
detriments,-1.0
devalue,-1.0
devalued,-1.0
devalues,-1.0
devaluing,-1.0
devastate,-1.0
devastated,-1.0
devastating,-1.0
devastation,-1.0
deviate,-1.0
deviated,-1.0
deviates,-1.0
deviating,-1.0
deviation,-1.0
deviations,-1.0
devolve,-1.0
devolved,-1.0
devolves,-1.0
devolving,-1.0
difficult,-1.0
difficulties,-1.0
difficultly,-1.0
difficulty,-1.0
diligent,1.0
diligently,1.0
diminish,-1.0
diminished,-1.0
diminishes,-1.0
diminishing,-1.0
diminution,-1.0
disadvantage,-1.0
disadvantaged,-1.0
disadvantageous,-1.0
disadvantages,-1.0
disaffiliation,-1.0
disagree,-1.0
disagreeable,-1.0
disagreed,-1.0
disagreeing,-1.0
disagreement,-1.0
disagreements,-1.0
disagrees,-1.0
disallow,-1.0
disallowance,-1.0
disallowances,-1.0
disallowed,-1.0
disallowing,-1.0
disallows,-1.0
disappear,-1.0
disappearance,-1.0
disappearances,-1.0
disappeared,-1.0
disappearing,-1.0
disappears,-1.0
disappoint,-1.0
disappointed,-1.0
disappointing,-1.0
disappointingly,-1.0
disappointment,-1.0
disappointments,-1.0
disappoints,-1.0
disapproval,-1.0
disapprovals,-1.0
disapprove,-1.0
disapproved,-1.0
disapproves,-1.0
disapproving,-1.0
disassociates,-1.0
disassociating,-1.0
disassociation,-1.0
disassociations,-1.0
disaster,-1.0
disasters,-1.0
disastrous,-1.0
disastrously,-1.0
disavow,-1.0
disavowal,-1.0
disavowed,-1.0
disavowing,-1.0
disavows,-1.0
disciplinary,-1.0
disclaim,-1.0
disclaimed,-1.0
disclaimer,-1.0
disclaimers,-1.0
disclaiming,-1.0
disclaims,-1.0
disclose,-1.0
disclosed,-1.0
discloses,-1.0
disclosing,-1.0
discontinuance,-1.0
discontinuances,-1.0
discontinuation,-1.0
discontinuations,-1.0
discontinue,-1.0
discontinued,-1.0
discontinues,-1.0
discontinuing,-1.0
discourage,-1.0
discouraged,-1.0
discourages,-1.0
discouraging,-1.0
discredit,-1.0
discredited,-1.0
discrediting,-1.0
discredits,-1.0
discrepancies,-1.0
discrepancy,-1.0
disfavor,-1.0
disfavored,-1.0
disfavoring,-1.0
disfavors,-1.0
disgorge,-1.0
disgorged,-1.0
disgorgement,-1.0
disgorgements,-1.0
disgorges,-1.0
disgorging,-1.0
disgrace,-1.0
disgraceful,-1.0
disgracefully,-1.0
dishonest,-1.0
dishonestly,-1.0
dishonesty,-1.0
dishonor,-1.0
dishonorable,-1.0
dishonorably,-1.0
dishonored,-1.0
dishonoring,-1.0
dishonors,-1.0
disincentives,-1.0
disinterested,-1.0
disinterestedly,-1.0
disinterestedness,-1.0
disloyal,-1.0
disloyally,-1.0
disloyalty,-1.0
dismal,-1.0
dismally,-1.0
dismiss,-1.0
dismissal,-1.0
dismissals,-1.0
dismissed,-1.0
dismisses,-1.0
dismissing,-1.0
disorderly,-1.0
disparage,-1.0
disparaged,-1.0
disparagement,-1.0
disparagements,-1.0
disparages,-1.0
disparaging,-1.0
disparagingly,-1.0
disparities,-1.0
disparity,-1.0
displace,-1.0
displaced,-1.0
displacement,-1.0
displacements,-1.0
displaces,-1.0
displacing,-1.0
dispose,-1.0
dispossess,-1.0
dispossessed,-1.0
dispossesses,-1.0
dispossessing,-1.0
disproportion,-1.0
disproportional,-1.0
disproportionate,-1.0
disproportionately,-1.0
dispute,-1.0
disputed,-1.0
disputes,-1.0
disputing,-1.0
disqualification,-1.0
disqualifications,-1.0
disqualified,-1.0
disqualifies,-1.0
disqualify,-1.0
disqualifying,-1.0
disregard,-1.0
disregarded,-1.0
disregarding,-1.0
disregards,-1.0
disreputable,-1.0
disrepute,-1.0
disrupt,-1.0
disrupted,-1.0
disrupting,-1.0
disruption,-1.0
disruptions,-1.0
disruptive,-1.0
disrupts,-1.0
dissatisfaction,-1.0
dissatisfied,-1.0
dissent,-1.0
dissented,-1.0
dissenter,-1.0
dissenters,-1.0
dissenting,-1.0
dissents,-1.0
dissident,-1.0
dissidents,-1.0
dissolution,-1.0
dissolutions,-1.0
distinction,1.0
distinctions,1.0
distinctive,1.0
distinctively,1.0
distinctiveness,1.0
distort,-1.0
distorted,-1.0
distorting,-1.0
distortion,-1.0
distortions,-1.0
distorts,-1.0
distract,-1.0
distracted,-1.0
distracting,-1.0
distraction,-1.0
distractions,-1.0
distracts,-1.0
distress,-1.0
distressed,-1.0
disturb,-1.0
disturbance,-1.0
disturbances,-1.0
disturbed,-1.0
disturbing,-1.0
disturbs,-1.0
diversion,-1.0
divert,-1.0
diverted,-1.0
diverting,-1.0
diverts,-1.0
divest,-1.0
divested,-1.0
divesting,-1.0
divestiture,-1.0
divestitures,-1.0
divestment,-1.0
divestments,-1.0
divests,-1.0
divorce,-1.0
divorced,-1.0
divulge,-1.0
divulged,-1.0
divulges,-1.0
divulging,-1.0
doubt,-1.0
doubted,-1.0
doubtful,-1.0
doubts,-1.0
downgrade,-1.0
downgraded,-1.0
downgrades,-1.0
downgrading,-1.0
downsize,-1.0
downsized,-1.0
downsizes,-1.0
downsizing,-1.0
downsizings,-1.0
downtime,-1.0
downtimes,-1.0
downturn,-1.0
downturns,-1.0
downward,-1.0
downwards,-1.0
drag,-1.0
drastic,-1.0
drastically,-1.0
drawback,-1.0
drawbacks,-1.0
dream,1.0
dropped,-1.0
drought,-1.0
droughts,-1.0
duress,-1.0
dysfunction,-1.0
dysfunctional,-1.0
dysfunctions,-1.0
easier,1.0
easily,1.0
easing,-1.0
easy,1.0
effective,1.0
efficiencies,1.0
efficiency,1.0
efficient,1.0
efficiently,1.0
egregious,-1.0
egregiously,-1.0
embargo,-1.0
embargoed,-1.0
embargoes,-1.0
embargoing,-1.0
embarrass,-1.0
embarrassed,-1.0
embarrasses,-1.0
embarrassing,-1.0
embarrassment,-1.0
embarrassments,-1.0
embezzle,-1.0
embezzled,-1.0
embezzlement,-1.0
embezzlements,-1.0
embezzler,-1.0
embezzles,-1.0
embezzling,-1.0
empower,1.0
empowered,1.0
empowering,1.0
empowers,1.0
enable,1.0
enabled,1.0
enables,1.0
enabling,1.0
encouraged,1.0
encouragement,1.0
encourages,1.0
encouraging,1.0
encroach,-1.0
encroached,-1.0
encroaches,-1.0
encroaching,-1.0
encroachment,-1.0
encroachments,-1.0
encumber,-1.0
encumbered,-1.0
encumbering,-1.0
encumbers,-1.0
encumbrance,-1.0
encumbrances,-1.0
endanger,-1.0
endangered,-1.0
endangering,-1.0
endangerment,-1.0
endangers,-1.0
enhance,1.0
enhanced,1.0
enhancement,1.0
enhancements,1.0
enhances,1.0
enhancing,1.0
enjoin,-1.0
enjoined,-1.0
enjoining,-1.0
enjoins,-1.0
enjoy,1.0
enjoyable,1.0
enjoyably,1.0
enjoyed,1.0
enjoying,1.0
enjoyment,1.0
enjoys,1.0
enthusiasm,1.0
enthusiastic,1.0
enthusiastically,1.0
erode,-1.0
eroded,-1.0
erodes,-1.0
eroding,-1.0
erosion,-1.0
erratic,-1.0
erratically,-1.0
erred,-1.0
erring,-1.0
erroneous,-1.0
erroneously,-1.0
error,-1.0
errors,-1.0
errs,-1.0
escalate,-1.0
escalated,-1.0
escalates,-1.0
escalating,-1.0
evade,-1.0
evaded,-1.0
evades,-1.0
evading,-1.0
evasion,-1.0
evasions,-1.0
evasive,-1.0
evict,-1.0
evicted,-1.0
evicting,-1.0
eviction,-1.0
evictions,-1.0
evicts,-1.0
exacerbate,-1.0
exacerbated,-1.0
exacerbates,-1.0
exacerbating,-1.0
exacerbation,-1.0
exacerbations,-1.0
exaggerate,-1.0
exaggerated,-1.0
exaggerates,-1.0
exaggerating,-1.0
exaggeration,-1.0
excellence,1.0
excellent,1.0
excelling,1.0
excels,1.0
exceptional,1.0
exceptionally,1.0
excessive,-1.0
excessively,-1.0
excited,1.0
excitement,1.0
exciting,1.0
exclusive,1.0
exclusively,1.0
exclusiveness,1.0
exclusives,1.0
exclusivity,1.0
exculpate,-1.0
exculpated,-1.0
exculpates,-1.0
exculpating,-1.0
exculpation,-1.0
exculpations,-1.0
exculpatory,-1.0
exemplary,1.0
exonerate,-1.0
exonerated,-1.0
exonerates,-1.0
exonerating,-1.0
exoneration,-1.0
exonerations,-1.0
exploit,-1.0
exploitation,-1.0
exploitations,-1.0
exploitative,-1.0
exploited,-1.0
exploiting,-1.0
exploits,-1.0
expose,-1.0
exposed,-1.0
exposes,-1.0
exposing,-1.0
expropriate,-1.0
expropriated,-1.0
expropriates,-1.0
expropriating,-1.0
expropriation,-1.0
expropriations,-1.0
expulsion,-1.0
expulsions,-1.0
extenuating,-1.0
fail,-1.0
failed,-1.0
failing,-1.0
failings,-1.0
fails,-1.0
failure,-1.0
failures,-1.0
fallout,-1.0
false,-1.0
falsely,-1.0
falsification,-1.0
falsifications,-1.0
falsified,-1.0
falsifies,-1.0
falsify,-1.0
falsifying,-1.0
falsity,-1.0
fantastic,1.0
fatalities,-1.0
fatality,-1.0
fatally,-1.0
fault,-1.0
faulted,-1.0
faults,-1.0
faulty,-1.0
favorable,1.0
favorably,1.0
favored,1.0
favoring,1.0
favorite,1.0
favorites,1.0
fear,-1.0
fears,-1.0
felonies,-1.0
felonious,-1.0
felony,-1.0
fictitious,-1.0
fined,-1.0
fines,-1.0
fired,-1.0
firing,-1.0
flaw,-1.0
flawed,-1.0
flaws,-1.0
forbid,-1.0
forbidden,-1.0
forbidding,-1.0
forbids,-1.0
force,-1.0
forced,-1.0
forcing,-1.0
foreclose,-1.0
foreclosed,-1.0
forecloses,-1.0
foreclosing,-1.0
foreclosure,-1.0
foreclosures,-1.0
forego,-1.0
foregoes,-1.0
foregone,-1.0
forestall,-1.0
forestalled,-1.0
forestalling,-1.0
forestalls,-1.0
forfeit,-1.0
forfeited,-1.0
forfeiting,-1.0
forfeits,-1.0
forfeiture,-1.0
forfeitures,-1.0
forgers,-1.0
forgery,-1.0
fraud,-1.0
frauds,-1.0
fraudulence,-1.0
fraudulent,-1.0
fraudulently,-1.0
friendly,1.0
frivolous,-1.0
frivolously,-1.0
frustrate,-1.0
frustrated,-1.0
frustrates,-1.0
frustrating,-1.0
frustratingly,-1.0
frustration,-1.0
frustrations,-1.0
fugitive,-1.0
fugitives,-1.0
gain,1.0
gained,1.0
gaining,1.0
gains,1.0
good,1.0
gratuitous,-1.0
gratuitously,-1.0
great,1.0
greater,1.0
greatest,1.0
greatly,1.0
greatness,1.0
grievance,-1.0
grievances,-1.0
grossly,-1.0
groundless,-1.0
guilty,-1.0
halt,-1.0
halted,-1.0
hamper,-1.0
hampered,-1.0
hampering,-1.0
hampers,-1.0
happiest,1.0
happily,1.0
happiness,1.0
happy,1.0
harass,-1.0
harassed,-1.0
harassing,-1.0
harassment,-1.0
hardship,-1.0
hardships,-1.0
harm,-1.0
harmed,-1.0
harmful,-1.0
harmfully,-1.0
harming,-1.0
harms,-1.0
harsh,-1.0
harsher,-1.0
harshest,-1.0
harshly,-1.0
harshness,-1.0
hazard,-1.0
hazardous,-1.0
hazards,-1.0
highest,1.0
hinder,-1.0
hindered,-1.0
hindering,-1.0
hinders,-1.0
hindrance,-1.0
hindrances,-1.0
honor,1.0
honorable,1.0
honored,1.0
honoring,1.0
honors,1.0
hostile,-1.0
hostility,-1.0
hurt,-1.0
hurting,-1.0
ideal,1.0
idle,-1.0
idled,-1.0
idling,-1.0
ignore,-1.0
ignored,-1.0
ignores,-1.0
ignoring,-1.0
ill,-1.0
illegal,-1.0
illegalities,-1.0
illegality,-1.0
illegally,-1.0
illegible,-1.0
illicit,-1.0
illicitly,-1.0
illiquid,-1.0
illiquidity,-1.0
imbalance,-1.0
imbalances,-1.0
immature,-1.0
immoral,-1.0
impair,-1.0
impaired,-1.0
impairing,-1.0
impairment,-1.0
impairments,-1.0
impairs,-1.0
impasse,-1.0
impasses,-1.0
impede,-1.0
impeded,-1.0
impedes,-1.0
impediment,-1.0
impediments,-1.0
impeding,-1.0
impending,-1.0
imperative,-1.0
imperfection,-1.0
imperfections,-1.0
imperil,-1.0
impermissible,-1.0
implicate,-1.0
implicated,-1.0
implicates,-1.0
implicating,-1.0
impossibility,-1.0
impossible,-1.0
impound,-1.0
impounded,-1.0
impounding,-1.0
impounds,-1.0
impracticable,-1.0
impractical,-1.0
impracticalities,-1.0
impracticality,-1.0
impress,1.0
impressed,1.0
impresses,1.0
impressing,1.0
impressive,1.0
impressively,1.0
imprisonment,-1.0
improper,-1.0
improperly,-1.0
improprieties,-1.0
impropriety,-1.0
improve,1.0
improved,1.0
improvement,1.0
improvements,1.0
improves,1.0
improving,1.0
imprudent,-1.0
imprudently,-1.0
inability,-1.0
inaccessible,-1.0
inaccuracies,-1.0
inaccuracy,-1.0
inaccurate,-1.0
inaccurately,-1.0
inaction,-1.0
inactions,-1.0
inactivate,-1.0
inactivated,-1.0
inactivates,-1.0
inactivating,-1.0
inactivation,-1.0
inactivations,-1.0
inactivity,-1.0
inadequacies,-1.0
inadequacy,-1.0
inadequate,-1.0
inadequately,-1.0
inadvertent,-1.0
inadvertently,-1.0
inadvisability,-1.0
inadvisable,-1.0
inappropriate,-1.0
inappropriately,-1.0
inattention,-1.0
incapable,-1.0
incapacitated,-1.0
incapacity,-1.0
incarcerate,-1.0
incarcerated,-1.0
incarcerates,-1.0
incarcerating,-1.0
incarceration,-1.0
incarcerations,-1.0
incidence,-1.0
incidences,-1.0
incident,-1.0
incidents,-1.0
incompatibilities,-1.0
incompatibility,-1.0
incompatible,-1.0
incompetence,-1.0
incompetency,-1.0
incompetent,-1.0
incompetently,-1.0
incompetents,-1.0
incomplete,-1.0
incompletely,-1.0
incompleteness,-1.0
inconclusive,-1.0
inconsistencies,-1.0
inconsistency,-1.0
inconsistent,-1.0
inconsistently,-1.0
inconvenience,-1.0
inconveniences,-1.0
inconvenient,-1.0
incorrect,-1.0
incorrectly,-1.0
incorrectness,-1.0
incredible,1.0
incredibly,1.0
indecency,-1.0
indecent,-1.0
indefeasible,-1.0
indefeasibly,-1.0
indict,-1.0
indictable,-1.0
indicted,-1.0
indicting,-1.0
indictment,-1.0
indictments,-1.0
ineffective,-1.0
ineffectively,-1.0
ineffectiveness,-1.0
inefficiencies,-1.0
inefficiency,-1.0
inefficient,-1.0
inefficiently,-1.0
ineligibility,-1.0
ineligible,-1.0
inequitable,-1.0
inequitably,-1.0
inequities,-1.0
inequity,-1.0
inevitable,-1.0
inexperience,-1.0
inexperienced,-1.0
inferior,-1.0
inflicted,-1.0
influential,1.0
informative,1.0
infraction,-1.0
infractions,-1.0
infringe,-1.0
infringed,-1.0
infringement,-1.0
infringements,-1.0
infringes,-1.0
infringing,-1.0
ingenuity,1.0
inhibited,-1.0
inimical,-1.0
injunction,-1.0
injunctions,-1.0
injure,-1.0
injured,-1.0
injures,-1.0
injuries,-1.0
injuring,-1.0
injurious,-1.0
injury,-1.0
innovate,1.0
innovated,1.0
innovates,1.0
innovating,1.0
innovation,1.0
innovations,1.0
innovative,1.0
innovativeness,1.0
innovator,1.0
innovators,1.0
inordinate,-1.0
